"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.antlr.v4.codegen.model.chunk.LocalRef",5,1,0,3,1,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.ListLabelRef",3,1,0,4,0,0,0,1,1,0
"org.antlr.v4.codegen.model.Loop",18,5,3,4,2,5,3,2,2,0
"org.antlr.v4.codegen.model.PlusBlock",17,1,0,5,0,11,0,1,1,0
"org.antlr.v4.codegen.model.chunk.RetValueRef",5,1,0,3,1,0,0,1,1,0
"org.antlr.v4.parse.TokenVocabParser",110,19,20,0,0,87,29,1,3,0
"org.antlr.v4.codegen.model.BaseVisitorFile",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.RulePropertyRef_start",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.ThisRulePropertyRef_text",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.tool.ast.GrammarASTWithOptions",46,21,13,2,7,23,16,1,11,0
"org.antlr.v4.codegen.model.chunk.ThisRulePropertyRef_stop",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.Sync",12,1,0,2,0,1,0,1,1,0
"org.antlr.v4.codegen.model.RuleFunction",224,57,85,1,1,176,61,1,10,0
"org.antlr.v4.Tool",664,184,210,0,0,442,138,2,40,0
"org.antlr.v4.codegen.model.chunk.RulePropertyRef_parser",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.semantics.ActionSniffer",49,10,2,1,0,37,17,1,8,0
"org.antlr.v4.gui.SystemFontMetrics",19,3,1,1,0,16,1,1,2,0
"org.antlr.v4.codegen.model.chunk.NonLocalAttrRef",9,1,0,3,0,2,0,1,1,0
"org.antlr.v4.codegen.model.decl.TokenDecl",6,1,0,3,1,0,0,1,1,0
"org.antlr.v4.codegen.model.Lexer",27,3,2,2,0,42,0,1,1,0
"org.antlr.v4.codegen.model.OutputModelObject",10,3,0,0,9,2,0,1,3,0
"org.antlr.v4.codegen.model.LL1Choice",9,1,0,4,2,0,0,1,1,0
"org.antlr.v4.gui.TreePostScriptGenerator",102,17,6,0,0,55,28,1,12,0
"org.antlr.v4.codegen.model.DispatchMethod",5,1,0,1,2,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.ActionChunk",6,1,0,1,5,1,0,1,1,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_index",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.LL1PlusBlockSingleAlt",14,1,0,5,0,12,0,1,1,0
"org.antlr.v4.codegen.target.CppTarget",83,18,7,1,0,33,13,5,11,0
"org.antlr.v4.gui.TreeViewer",601,98,54,0,0,318,185,1,52,0
"org.antlr.v4.analysis.AnalysisPipeline",60,18,18,0,0,64,29,1,5,0
"org.antlr.v4.codegen.model.chunk.LabelRef",5,1,0,3,1,0,0,1,1,0
"org.antlr.v4.gui.BasicFontMetrics",19,5,2,0,1,4,3,1,3,0
"org.antlr.v4.codegen.model.RuleElement",7,3,2,2,4,4,0,1,1,0
"org.antlr.v4.codegen.model.decl.ElementListDecl",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.target.TypeScriptTarget",85,7,0,1,0,2,6,7,7,0
"org.antlr.v4.tool.ToolMessage",11,3,0,1,0,2,0,1,3,0
"org.antlr.v4.automata.ATNVisitor",16,5,2,0,1,8,7,2,3,0
"org.antlr.v4.misc.Graph",50,12,13,0,0,26,13,1,4,0
"org.antlr.v4.parse.GrammarToken",46,13,6,1,0,20,10,1,7,0
"org.antlr.v4.codegen.model.chunk.ArgRef",5,1,0,4,0,0,0,1,1,0
"org.antlr.v4.tool.LexerGrammar",33,9,3,1,0,9,6,2,6,0
"org.antlr.v4.codegen.model.SemPred",32,8,6,4,0,25,0,1,1,0
"org.antlr.v4.tool.ast.GrammarASTVisitor",16,14,0,0,0,0,1,1,14,0
"org.antlr.v4.codegen.model.AddToLabelList",9,1,0,2,0,2,0,1,1,0
"org.antlr.v4.codegen.model.chunk.RulePropertyRef_ctx",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.tool.ast.StarBlockAST",16,5,0,2,0,5,4,1,5,0
"org.antlr.v4.codegen.model.Choice",46,8,4,3,4,25,21,1,5,0
"org.antlr.v4.semantics.SemanticPipeline",157,51,64,0,0,172,47,1,7,0
"org.antlr.v4.codegen.model.decl.Decl",25,7,3,2,7,8,2,1,4,0
"org.antlr.v4.codegen.model.chunk.RulePropertyRef",7,1,0,2,10,1,0,1,1,0
"org.antlr.v4.gui.GraphicsSupport",55,10,16,0,0,52,30,1,1,0
"org.antlr.v4.misc.Utils",109,35,29,0,0,83,41,2,12,0
"org.antlr.v4.codegen.model.BaseListenerFile",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.automata.ATNFactory",39,26,0,0,0,2,25,25,26,0
"org.antlr.v4.codegen.model.SerializedATN",12,3,0,1,1,3,1,1,3,0
"org.antlr.v4.codegen.BlankOutputModelFactory",26,24,0,0,1,0,24,1,24,0
