"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.elasticsearch.index.mapper.DocumentLeafReader",338,50,22,1,0,191,80,2,33,11
"org.elasticsearch.action.admin.cluster.storedscripts.TransportPutStoredScriptAction",34,3,0,0,0,8,5,2,3,0
"org.elasticsearch.indices.recovery.SnapshotFilesProvider",33,5,2,0,0,19,14,2,3,0
"org.elasticsearch.bootstrap.ESPolicy",122,26,27,1,0,67,17,2,5,2
"org.elasticsearch.index.query.TypeQueryV7Builder",54,12,0,0,0,33,18,9,12,0
"org.elasticsearch.action.admin.cluster.snapshots.status.SnapshotStats",248,54,53,0,0,252,34,1,17,0
"org.elasticsearch.common.inject.matcher.Matchers",45,3,0,0,0,13,4,3,3,0
"org.elasticsearch.bootstrap.BootstrapCheck",27,2,0,0,0,4,2,2,2,0
"org.elasticsearch.transport.RemoteConnectionInfo",95,22,9,0,0,72,25,1,11,0
"org.elasticsearch.search.aggregations.bucket.range.BinaryRangeAggregator",261,15,11,4,0,147,20,2,6,3
"org.elasticsearch.index.fielddata.AbstractSortedSetDocValues",14,4,0,1,0,4,5,2,4,0
"org.elasticsearch.common.inject.internal.StackTraceElements",17,4,2,0,0,12,6,1,2,0
"org.elasticsearch.search.aggregations.metrics.WeightedAvgAggregatorFactory",32,5,1,2,0,8,10,1,4,0
"org.elasticsearch.cluster.metadata.SystemIndexMetadataUpgradeService",124,20,18,0,0,106,39,1,8,2
"org.elasticsearch.script.field.VersionDocValuesField",5,1,0,1,0,0,0,1,1,0
"org.elasticsearch.monitor.StatusInfo",26,8,1,0,0,6,9,2,7,0
"org.elasticsearch.action.admin.cluster.node.tasks.get.GetTaskRequest",54,12,1,3,0,21,15,1,11,0
"org.elasticsearch.rest.action.RestMainAction",25,6,1,1,0,13,15,4,5,1
"org.elasticsearch.action.admin.cluster.snapshots.create.CreateSnapshotResponse",64,19,6,3,0,22,18,2,13,0
"org.elasticsearch.index.shard.ShardCountStats",40,12,2,0,0,16,12,1,10,0
"org.elasticsearch.action.fieldcaps.ResponseRewriter",89,23,30,0,0,49,28,2,5,8
"org.elasticsearch.action.search.SearchType",34,11,7,0,0,13,5,1,4,0
"org.elasticsearch.upgrades.FeatureMigrationResults",105,18,2,0,0,51,24,4,16,5
"org.elasticsearch.rest.action.admin.cluster.RestCancelTasksAction",31,5,0,1,0,24,21,4,5,1
"org.elasticsearch.index.mapper.GeoShapeQueryable",145,28,26,0,0,71,43,3,8,0
"org.elasticsearch.lucene.search.uhighlight.Snippet",19,4,0,0,0,3,3,1,4,0
"org.elasticsearch.common.document.DocumentField",129,38,21,0,0,79,35,1,17,2
"org.elasticsearch.search.aggregations.metrics.AvgAggregationBuilder",55,14,0,0,0,15,14,8,14,0
"org.elasticsearch.index.shard.ShardUtils",18,5,2,0,0,10,6,2,3,0
"org.elasticsearch.snapshots.SnapshotShardFailure",115,26,10,1,0,80,28,2,14,0
"org.elasticsearch.indices.recovery.RecoveryRequestTracker",24,5,5,0,0,14,10,1,1,1
"org.elasticsearch.indices.store.IndicesStore",320,26,28,0,0,183,45,1,5,7
"org.elasticsearch.search.aggregations.bucket.MultiBucketsAggregation",9,1,0,2,9,0,1,1,1,0
"org.elasticsearch.persistent.decider.EnableAssignmentDecider",45,4,1,0,0,19,3,1,3,0
"org.elasticsearch.reservedstate.service.ReservedStateUpdateTaskExecutor",23,4,0,0,0,13,11,2,4,2
"org.elasticsearch.action.admin.indices.create.CreateIndexRequestBuilder",103,26,0,0,0,27,18,2,26,0
"org.elasticsearch.action.admin.cluster.configuration.ClearVotingConfigExclusionsRequest",33,9,0,0,0,10,9,2,9,0
"org.elasticsearch.script.ExplainableScoreScript",3,1,0,0,0,0,1,1,1,0
"org.elasticsearch.rest.action.admin.indices.RestDeleteIndexTemplateAction",13,3,0,1,0,11,13,3,3,1
"org.elasticsearch.tasks.TaskAwareRequest",13,5,0,0,0,2,6,4,5,0
"org.elasticsearch.common.io.Streams",166,18,5,0,0,102,25,4,14,0
"org.elasticsearch.index.mapper.CustomDocValuesField",30,8,0,0,0,6,6,4,8,0
"org.elasticsearch.search.aggregations.bucket.ParsedSingleBucketAggregation",51,13,13,1,6,42,20,4,5,0
"org.elasticsearch.index.query.functionscore.ScriptScoreFunctionBuilder",66,18,8,0,0,47,32,2,11,0
"org.elasticsearch.action.support.ActionFilters",10,2,0,0,0,5,1,1,2,0
"org.elasticsearch.action.resync.TransportResyncReplicationAction",146,19,5,0,0,55,45,5,15,3
"org.elasticsearch.search.profile.aggregation.AggregationProfileBreakdown",13,3,0,0,0,2,4,2,3,0
