"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.springframework.core.convert.support.ByteBufferConverter://matches$[61:8,67:1]",7,4,3,2,0
"org.springframework.core.convert.support.ByteBufferConverter://matchesFromByteBuffer$[69:9,72:1]",4,2,1,1,0
"org.springframework.core.convert.support.ByteBufferConverter://matchesToByteBuffer$[74:9,77:1]",4,2,1,1,0
"org.springframework.core.convert.support.ByteBufferConverter://convert$[81:8,91:1]",10,4,4,3,0
"org.springframework.core.convert.support.ByteBufferConverter://convertFromByteBuffer$[94:9,102:1]",8,2,1,2,0
"org.springframework.core.convert.support.ByteBufferConverter://convertToByteBuffer$[104:9,116:1]",10,2,1,2,0
"org.springframework.cglib.proxy.CallbackInfo://determineTypes$[23:18,25:4]",3,1,0,1,0
"org.springframework.cglib.proxy.CallbackInfo://determineTypes$[27:18,33:4]",7,2,1,2,0
"org.springframework.cglib.proxy.CallbackInfo://determineTypes$[35:18,37:4]",3,1,0,1,0
"org.springframework.cglib.proxy.CallbackInfo://determineTypes$[39:18,45:4]",7,2,1,2,0
"org.springframework.cglib.proxy.CallbackInfo://getGenerators$[47:18,53:4]",7,2,1,1,0
"org.springframework.cglib.proxy.CallbackInfo://CallbackInfo.constructor$[71:12,75:4]",5,1,0,2,0
"org.springframework.cglib.proxy.CallbackInfo://determineType$[77:19,82:4]",6,2,1,2,0
"org.springframework.cglib.proxy.CallbackInfo://determineType$[84:19,103:4]",20,6,10,2,0
"org.springframework.cglib.proxy.CallbackInfo://getGenerator$[105:19,112:4]",8,3,3,1,0
"org.springframework.cglib.core.GeneratorStrategy://generate$[34:4,34:55]",1,1,0,1,0
"org.springframework.cglib.core.GeneratorStrategy://equals$[44:1,44:25]",1,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://wrapCachedClass$[133:11,135:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://unwrapCachedValue$[137:11,139:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://AbstractClassGenerator.constructor$[152:11,154:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://setNamePrefix$[156:11,158:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://getClassName$[160:17,162:1]",3,1,0,0,0
"org.springframework.cglib.core.AbstractClassGenerator://setClassName$[164:9,166:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://generateClassName$[168:9,170:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://setClassLoader$[181:8,183:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://setContextClass$[186:8,188:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://setNamingPolicy$[196:8,201:1]",6,2,1,1,0
"org.springframework.cglib.core.AbstractClassGenerator://getNamingPolicy$[206:8,208:1]",3,1,0,0,0
"org.springframework.cglib.core.AbstractClassGenerator://setUseCache$[214:8,216:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://getUseCache$[221:8,223:1]",3,1,0,0,0
"org.springframework.cglib.core.AbstractClassGenerator://setAttemptLoad$[230:8,232:1]",3,1,0,1,0
"org.springframework.cglib.core.AbstractClassGenerator://getAttemptLoad$[234:8,236:1]",3,1,0,0,0
"org.springframework.cglib.core.AbstractClassGenerator://setStrategy$[242:8,247:1]",6,2,1,1,0
